Year,CO2(ppmv),CH4,temp,Irish Anomaly,Global Anomaly
-19612,185.23,357.09000000000003,-64.64999999999998,,
-19616,185.57125,357.12,-64.64999999999998,,
-19660,185.9125,357.15,-63.849999999999966,,
-19701,186.25375,357.18,-63.24999999999997,,
-19741,186.595,357.21000000000004,-62.54999999999998,,
-19782,186.93625,357.24,-64.74999999999997,,
-19826,187.2775,357.27,-64.34999999999997,,
-19836,187.61875,357.3,-64.0833333333333,,
-19840,187.96,357.01428571428573,-63.81666666666664,,
-19869,188.66500000000002,356.72857142857146,-63.54999999999998,,
-19913,189.37,356.4428571428572,-64.24999999999997,,
-19958,190.075,356.15714285714284,-64.74999999999997,,
-19963,190.78,355.87142857142857,-64.49999999999997,,
-20004,190.1,355.5857142857143,-64.24999999999997,,
-20035,189.42,355.3,-63.949999999999974,,
-20049,188.74,357.4666666666667,-63.64999999999998,,
-20092,188.06,359.6333333333333,-63.349999999999966,,
-20105,187.38,361.8,-63.24999999999997,,
-20134,188.158,363.9666666666667,-63.14999999999998,,
-20177,188.936,366.1333333333333,-64.04999999999998,,
-20222,189.714,368.3,-63.74999999999997,,
-20267,190.49200000000002,370.4666666666667,-64.24999999999997,,
-20280,191.27,372.6333333333333,-64.14999999999998,,
-20312,189.245,374.8,-64.04999999999998,,
-20342,187.22,376.9666666666667,-64.24999999999999,,
-20359,187.12,379.1333333333333,-64.44999999999999,,
-20397,187.02,381.3,-64.54999999999998,,
-20406,186.63,383.4666666666667,-64.64999999999998,,
-20453,186.24,385.6333333333333,-64.34999999999997,,
-20499,185.85000000000002,387.8,-63.44999999999999,,
-20544,185.46,389.9666666666667,-64.64999999999998,,
-20590,185.07,392.1333333333333,-64.54999999999998,,
-20600,184.68,394.3,-63.79999999999998,,
-20634,184.945,396.4666666666667,-63.04999999999998,,
-20654,185.21,398.6333333333333,-63.39999999999998,,
-20679,186.85000000000002,400.8,-63.74999999999997,,
-20700,188.49,402.9666666666667,-63.89999999999998,,
-20723,188.99666666666667,405.1333333333333,-64.04999999999998,,
-20767,189.50333333333333,407.3,-63.349999999999966,,
-20799,190.01,403.525,-63.599999999999966,,
-20812,188.71666666666667,399.75,-63.849999999999966,,
-20856,187.42333333333332,395.975,-64.54999999999998,,
-20883,186.13,392.2,-64.09999999999998,,
-20903,186.675,388.42499999999995,-63.64999999999998,,
-20945,187.22,384.65,-64.14999999999998,,
-20949,187.765,385.2444444444444,-64.64999999999998,,
-20996,188.31,385.83888888888885,-64.04999999999998,,
-21042,188.85500000000002,386.43333333333334,-64.24999999999997,,
-21044,189.4,387.02777777777777,-64.18333333333331,,
-21063,190.53,387.6222222222222,-64.11666666666665,,
-21089,190.38,388.21666666666664,-64.04999999999998,,
-21136,190.23000000000002,388.81111111111113,-64.34999999999997,,
-21157,190.08,389.40555555555557,-64.2833333333333,,
-21179,189.71,390.0,-64.21666666666664,,
-21182,189.34,389.9642857142857,-64.14999999999998,,
-21229,188.97,389.92857142857144,-63.74999999999997,,
-21235,188.6,389.89285714285717,-63.39999999999998,,
-21275,191.62333333333333,389.85714285714283,-63.04999999999998,,
-21319,194.64666666666665,389.82142857142856,-63.44999999999999,,
-21326,197.67,389.7857142857143,-63.24999999999998,,
-21328,196.635,389.75,-63.049999999999976,,
-21363,195.6,389.74285714285713,-62.849999999999966,,
-21407,194.565,389.73571428571427,-63.64999999999998,,
-21408,193.53,389.7285714285714,-63.74999999999997,,
-21452,190.155,389.7214285714286,-63.849999999999966,,
-21495,186.78,389.7142857142857,-63.64999999999998,,
-21498,186.98166666666668,389.70714285714286,-63.44999999999999,,
-21522,187.18333333333334,389.7,-64.19999999999999,,
-21544,187.385,389.296875,-64.94999999999999,,
-21592,187.58666666666667,388.89375,-64.04999999999998,,
-21641,187.78833333333336,388.490625,-63.64999999999998,,
-21650,187.99,388.0875,-63.79999999999998,,
-21689,187.3825,387.684375,-63.94999999999999,,
-21736,186.775,387.28125,-63.349999999999966,,
-21782,186.16750000000002,386.878125,-63.54999999999998,,
-21797,185.56,386.475,-63.59999999999998,,
-21829,184.9525,388.78000000000003,-63.64999999999998,,
-21875,184.345,391.08500000000004,-63.24999999999997,,
-21922,183.7375,393.39,-63.54999999999998,,
-21923,183.13,395.695,-63.683333333333316,,
-21938,183.38833333333332,398.0,-63.816666666666656,,
-21969,183.64666666666668,394.18333333333334,-63.94999999999999,,
-22019,183.905,390.3666666666667,-64.04999999999998,,
-22070,184.16333333333333,386.55,-65.04999999999998,,
-22121,184.42166666666668,382.73333333333335,-64.54999999999998,,
-22127,184.68,378.9166666666667,-64.44999999999997,,
-22134,185.09,375.1,-64.34999999999998,,
-22173,185.5,372.58333333333337,-64.24999999999997,,
-22224,185.91,370.06666666666666,-64.14999999999998,,
-22276,186.32,367.55,-65.24999999999997,,
-22319,186.73,365.03333333333336,-64.79999999999997,,
-22329,186.11399999999998,362.51666666666665,-64.34999999999997,,
-22349,185.498,360.0,-64.19999999999997,,
-22382,184.882,362.54,-64.04999999999998,,
-22435,184.266,365.08,-63.74999999999997,,
-22486,183.64999999999998,367.62,-63.64999999999998,,
-22537,183.034,370.15999999999997,-64.44999999999999,,
